Yerleşke;Bölge Anahtarı;Eyalet;Başlangıç Sahibi;Renk;X;Y
Adummatu;rom_arabia_magna_kedar;Arabia Magna;Qidri;#BCC0AF;1336;485
Akink;rom_pannonia_transdanubia;Pannonia;Eravisci;#603F33;820;1100
Aksum;rom_aithiops_ityopya;Aethiopia;Axum;#857456;1304;90
Aktau;rom_scythia_usturt;Scythia;Massagetae;#B7DE9B;1652;957
Alabu;rom_suebia_cimbria;Suebia;Cimbri;#DDA960;572;1530
Alalia;rom_corsica_et_sardinia_corsica;Corsica et Sardinia;Etruscan League;#4E9FDA;534;862
Alexandria;rom_aegyptos_ta_mehu;Aegyptus;Egypt;#2552B1;1068;471
Alexandria Arachosia;rom_arachosia_arachosia;Arachosia;Arachosia;#4A484B;1892;536
Amaseia;rom_bithynia_et_pontus_pontos;Bithynia et Pontus;Pontus;#264C61;1272;837
Ammonium;rom_libue_siwa;Libya;Cyrenaica;#F5CE6F;954;421
Amul;rom_chorasmia_transcaspia;Chorasmia;Dahae;#64964F;1850;802
Ancyra;rom_galatia_et_cappadocia_galatia;Galatia et Cappadocia;Galatia;#3D4A2E;1168;811
Antheia;rom_thracia_byzantion;Thracia;Tylis;#79D89E;1034;892
Antioch;rom_syria_syria;Syria;Seleucid;#B4C7D6;1242;691
Apollonia;rom_macedonia_epeiros;Macedonia;Epirus;#BA7148;800;825
Aracillum;rom_tarraconensis_cantabria;Tarraconensis;Cantabri;#BEADA3;216;894
Ariminum;rom_italia_picenum;Italia;Etruscan League;#4E9FDA;650;952
Armavir;rom_armenia_armenia;Armenia;Armenia;#7D8F75;1442;834
Arsamosata;rom_armenia_sophene;Armenia;Armenia;#7D8F75;1334;790
Arse;rom_cartaginensis_edetania;Cartaginensis;Edetani;#70E1AE;294;749
Artacoana;rom_aria_aria;Aria;Aria;#B76849;1836;626
Ascaucalis;rom_suebia_bomeranorum;Suebia;Gutones;#5976CF;764;1366
Athenai;rom_hellas_attiki;Hellas;Athens;#6386A4;914;749
Augila;rom_libue_oases;Libya;Nasamones;#20DF79;832;398
Bagacum;rom_germania_minor_germania_inferior;Germania Minor;Nervii;#E5CF95;466;1278
Baktra;rom_bactria_baktria;Bactria;Baktria;#2B4E84;1930;712
Bam;rom_carmania_eremos_karmania;Carmania;Sagartia;#526B6F;1732;506
Belz;rom_silesia_leda;Silesia;Lugii;#8E7978;882;1253
Bibracte;rom_celtica_lugdunensis;Celtica;Aedui;#A62416;428;1086
Brigantium;rom_tarraconensis_callaecia;Tarraconensis;Gallaeci;#E4A244;96;918
Brundisium;rom_magna_graecia_calabria;Magna Graecia;Rome;#BBA31B;740;820
Budorgis;rom_silesia_silesia;Silesia;Lugii;#8E7978;766;1273
Bukhara;rom_transoxania_kangju;Transoxania;Baktria;#2B4E84;1906;830
Burdigala;rom_aquitania_aquitania;Aquitania;Vivisci;#DFDA20;296;991
Camulodunon;rom_britannia_britannia;Britannia;Iceni;#4674B0;334;1308
Carthago;rom_africa_zeugitana;Africa;Carthage;#E4D9C7;554;636
Casurgis;rom_hercynia_hercynia_silva;Hercynia;Boii;#79A568;702;1230
Cenabum;rom_celtica_lutetia;Celtica;Carnutes;#3B6442;364;1137
Charax;rom_mesopotamia_mesene;Mesopotamia;Media;#D22DA0;1550;485
Charmuthas;rom_nabataea_havilah;Nabataea;Nabataea;#A05142;1272;342
Cosentia;rom_magna_graecia_bruttium;Magna Graecia;Rome;#BBA31B;698;765
Cydamus;rom_phazania_tidamensi;Phazania;Garamantia;#A67A57;552;455
Cyrene;rom_libue_cyrenaica;Libya;Cyrenaica;#F5CE6F;844;508
Delminium;rom_illyria_dalmatia;Illyria;Daorsi;#A67E41;790;943
Dimmidi;rom_mauretania_gaetulia;Mauretania;Masaesyli;#39C64C;388;548
Diospolis;rom_aegyptos_ta_shemau;Aegyptus;Egypt;#2552B1;1156;319
Dura;rom_syria_eremos_syria;Syria;Seleucid;#B4C7D6;1362;612
Eblana;rom_caledonia_et_hibernia_hibernia;Caledonia et Hibernia;Ebdani;#7F8488;156;1368
Ebora;rom_lusitania_celtica;Lusitania;Celtici;#48644D;94;733
Eborakon;rom_britannia_brigantia;Britannia;Brigantes;#1B35BB;274;1398
